2020-04-19 16:10:27.910 DEBUG 623 --- [main] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.magicliang.experiments'. Automatic @Repository and @Entity scanning is enabled.
2020-04-19 16:10:27.911 DEBUG 623 --- [main] o.m.s.b.a.MybatisAutoConfiguration       : Searching for mappers annotated with @Mapper
2020-04-19 16:10:27.912 DEBUG 623 --- [main] o.m.s.b.a.MybatisAutoConfiguration       : Using auto-configuration base package 'com.magicliang.experiments'
2020-04-19 16:10:28.253  INFO 623 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-04-19 16:10:28.273 DEBUG 623 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.magicliang.experiments.
2020-04-19 16:10:28.294 DEBUG 623 --- [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [/Users/magicliang/Desktop/Programing/git/spring-experiments/old-project/target/classes/com/magicliang/experiments/repository/UserRepository.class]
2020-04-19 16:10:28.775  INFO 623 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 499ms. Found 1 JPA repository interfaces.
2020-04-19 16:10:29.046 DEBUG 623 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'server.port' in PropertySource 'configurationProperties' with value of type String
2020-04-19 16:10:29.134 DEBUG 623 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.mybatis.spring.mapper.MapperScannerConfigurer'
2020-04-19 16:10:29.160 DEBUG 623 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2020-04-19 16:10:29.190 DEBUG 623 --- [main] org.apache.ibatis.logging.LogFactory     : Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-19 16:10:29.204  WARN 623 --- [main] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.magicliang.experiments]' package. Please check your configuration.
2020-04-19 16:10:29.460 DEBUG 623 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor'
2020-04-19 16:10:29.462 DEBUG 623 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBeanDefinitionValidator'
